year,word,frequency
1700,cryptosporidium,0.0
1700,cryptotis,0.0
1700,cryptozoon,0.0
1700,ctene,0.0
1700,ctenidium,0.0
1700,ctenizid,0.0
1700,ctenophore,0.0
1700,cthulhu,0.0
1700,cub,0.448017
1700,cucaracha,0.0
1700,cuckoo,0.258165
1700,cuddlefish,0.0
1700,cuiui,0.0
1700,culex,0.0
1700,culpeo,0.0
1700,culver,0.199157
1700,cumnoria,0.0
1700,cunner,0.0
1700,cur,9.963934
1700,curassow,0.0
1700,curculio,0.01108
1700,curlew,0.463433
1700,currawong,0.0
1700,cuscus,0.030849
1700,cushat,0.0
1700,cusk,0.0
1700,cuskeel,0.0
1700,cutlassfish,0.0
1700,cuttlefish,0.022876
1700,cutworm,0.0
1700,cyanopsitta,0.0
1700,cyclops,0.777895
1700,cyclostome,0.0
1700,cygnet,0.25351
1700,cynodont,0.0
1700,cyprinid,0.0
1700,cyprinodon,0.0
1700,cyprinodont,0.0
1700,dabchick,0.0
1700,dace,0.580079
1700,dacentrurus,0.0
1700,dachsbracke,0.0
1700,dachshund,0.0
1700,daeodon,0.0
1700,dairycow,0.0
1700,dalmatian,0.239928
1700,dalmation,0.0
1700,damselfish,0.0
1700,damselfly,0.0
1700,danaid,0.025586
1700,daniff,0.0
1700,danios,0.0
1700,daphnia,0.0
1700,daspletosaurus,0.0
1700,dasypeltis,0.0
1700,dasyure,0.0
1700,datousaurus,0.0
1700,daug,0.0
1700,dealfish,0.0
1700,decapod,0.030849
1700,deer,6.156733
1700,deerfly,0.0
1700,deermouse,0.0
1700,defoliator,0.0
1700,degu,0.0
1700,deinocheirus,0.0
1700,deinodon,0.0
1700,deinonychus,0.0
1700,deinosuchus,0.0
1700,delphinapterus,0.0
1700,deltadromeus,0.0
1700,demogorgon,0.044378
1700,demosponge,0.0
1700,desman,0.001829
1700,desmostylus,0.0
1700,detritivore,0.0
1700,devilfish,0.0
1700,dexteria,0.0
1700,dhole,0.0
1700,diabloceratops,0.0
1700,diamondback,0.0
1700,diapheromera,0.0
1700,diapsid,0.0
1700,dibatag,0.0
1700,dibranchiate,0.0
1700,dicamptodon,0.0
1700,diceratops,0.0
1700,dickcissel,0.0
1700,dickeybird,0.0
1700,dickinsonia,0.0
1700,dicraeosaurus,0.0
1700,dicynodont,0.0
1700,dikdik,0.0
1700,dilong,0.0
1700,dilophosaurus,0.0
1700,dimetrodon,0.0
1700,dingo,0.0
1700,dino,0.0
1700,dinoceras,0.0
1700,dinocerate,0.0
1700,dinocrocuta,0.0
1700,dinofelis,0.0
1700,dinopithecus,0.0
1700,dinosaur,0.0
1700,diplodocus,0.0
1700,dipnoi,0.0
1700,diprotodon,0.0
1700,direwolf,0.0
1700,discus,0.2006
1700,dobbin,0.181441
1700,dobchick,0.0
1700,dobson,0.430373
1700,dobsonfly,0.0
1700,doctorbird,0.0
1700,doctorfish,0.0
1700,dodo,0.217539
1700,dodobird,0.0
1700,doe,2.244389
1700,doedicurus,0.0
1700,dog,29.388386
1700,dogfish,0.0
1700,doggy,0.0
1700,dogie,0.0
1700,doliolid,0.0
1700,doliolum,0.0
1700,dollarfish,0.0
1700,dolphin,2.160076
1700,dolphinfish,0.0
1700,dombay,0.0
1700,donkey,0.308494
1700,doodlebug,0.0
1700,dorbeetle,0.0
1700,dorgi,0.0
1700,dorkie,0.0
1700,dormouse,0.231938
1700,dory,0.103197
1700,dotterel,0.0
1700,dottyback,0.0
1700,douc,0.0
1700,douroucouli,0.0
1700,dove,8.565465
1700,dovekie,0.0
1700,dowitcher,0.0
1700,doxie,0.001829
1700,doxle,0.0
1700,dracopelta,0.0
1700,dracorex,0.0
1700,drafthorse,0.0
1700,dragon,8.544734
1700,dragonet,0.0
1700,dragonfish,0.0
1700,dragonfly,0.0
1700,drake,1.978642
1700,drakon,0.0
1700,draughthorse,0.0
1700,dravidosaurus,0.0
1700,dreadnoughtus,0.0
1700,dreissena,0.0
1700,drever,0.0
1700,driftfish,0.0
1700,drill,0.757105
1700,driloleirus,0.0
1700,drinker,1.314533
1700,dromaeosaurus,0.0
1700,dromedary,0.270963
1700,dromiceiomimus,0.0
1700,dromiciops,0.0
